Kode,Kategori,Jumlah Penjual,Rating,Jumlah Review,Harga
KFB07RRDR4PQ,Camera & Photo,5 penjual,,"3,151",IDR 459992.20749999996
KFB086QN7BBQ,"Clothing, Shoes & Jewelry",1 penjual,,"55,550",199583.99000000002 Rupiah
KFB004RMK57U,,1 penjual,4.8,"15,144",359337.45749999996 Rupiah
KFB07JCJMPVN,,2 Penjual,4.6,"66,237",208067.7475 Rupiah
KFB01ALLT2W4,Video Games,,4.6,"13,921",316199.70749999996
KFB095NWYQBC,Electronics,1 penjual,5.0,,143504.915 Rupiah
KFB00JM5GW10,Toys & Games,6 Penjual,,"32,246",114890.2075
KF1641526270,Books,1 yg jual,4.8,,79229.6675 rupiah
KFB091N43KTX,Electronics,,4.7,"267,821",IDR 718818.7075
KF125019623X,Books,,4.7,"6,449",294630.83249999996 Rupiah
KFB08S34FZKM,"Clothing, Shoes & Jewelry",1 yg jual,,"1,837",273061.95749999996
KFB08PFCYVP6,Camera & Photo,1 yg jual,4.2,860,
KFB07W95GZNH,Electronics,1 penjual,,"854,114",503129.9575 rupiah
KFB086KXKXKW,"Clothing, Shoes & Jewelry",10 Penjual,4.6,"29,802",
KFB07VNTFHD5,,32 Penjual,4.8,"19,478",1854923.25
KFB00O15486W,,1 yg jual,4.8,"3,913",431233.70749999996
KF1483815854,Books,,4.6,"3,271",143504.915 Rupiah
KFB082X4F15R,"Clothing, Shoes & Jewelry",,4.3,"7,435",258682.7075
KFB07WJS3QDX,Electronics,1 penjual,4.7,,2012951.2075 rupiah
KFB07DC2GRJ7,"Clothing, Shoes & Jewelry",1 penjual,,"10,610",316199.70749999996 rupiah
KFB08F7PTF54,Video Games,,4.8,"49,200",IDR 5737320.75
KFB08TVWR4C6,Toys & Games,1 penjual,4.7,,143648.7075 Rupiah
KFB07RRDR4PQ,,5 yg jual,4.5,"3,151",459992.20749999996 rupiah
KFB001TI9Y2M,Camera & Photo,19 yg jual,,"7,699",1387453.8325 Rupiah
KFB08CYVQ9BK,,1 penjual,4.8,"721,690",718962.5 rupiah
KF1483815846,Books,1 Penjual,4.7,"4,064",
KF1647397294,,1 yg jual,4.7,"4,439",137897.0075 rupiah
KF399240462,Books,1 yg jual,4.9,,IDR 71608.66500000001
KFB07736Q4GC,,1 Penjual,4.8,"52,513",143792.5 rupiah
KFB07KPSLPRW,Camera & Photo,3 Penjual,,"10,530",388095.95749999996
KF1623157900,,1 penjual,4.5,"6,526",83399.65 Rupiah
KFB00PKNO7LK,Toys & Games,,4.6,"21,781",357755.74
KFB086DKSYTS,Electronics,,4.4,"54,100",IDR 1437781.2075
KFB07FZ8S74R,Electronics,1 penjual,4.7,"854,114",
KFB07HZLHPKP,Electronics,1 penjual,4.6,,IDR 862611.2075
KFB07VGRJDFY,Video Games,214 penjual,4.9,,4313631.2075000005 Rupiah
KFB07TGNFVWV,Video Games,1 yg jual,4.8,"15,661",
KFB082PN4WNT,"Clothing, Shoes & Jewelry",1 Penjual,4.1,,286866.0375 rupiah
KFB001E1Y5O6,Electronics,,4.8,"21,563",179596.8325 rupiah
KFB07G2YR23M,,1 yg jual,4.6,"42,047",575026.2075
KFB07RMC5BRL,Video Games,41 yg jual,4.4,"15,971",
KFB00YXO5U40,Video Games,10 penjual,4.4,,358762.2875
KFB08V4NP5LT,Camera & Photo,1 penjual,4.7,790,
KFB07TC8J6HK,Video Games,11 penjual,4.4,,IDR 474371.4575
KFB08N5LNQCX,Electronics,5 yg jual,4.8,,IDR 12926945.75
KFB07WYVVM9G,Gift Cards,1 Penjual,4.8,,IDR 718962.5
KFB082R61V9K,"Clothing, Shoes & Jewelry",2 penjual,,"16,854",229924.2075 rupiah
KFB01JQSONCC,,1 Penjual,4.9,"50,571",IDR 287585.0
KFB08B5T3XL9,Camera & Photo,2 penjual,4.6,,344958.20749999996 rupiah
KFB08FHS3W9X,Camera & Photo,2 Penjual,4.3,,718818.7075
KFB07GTDRNKD,Toys & Games,4 penjual,4.8,,IDR 128981.87250000001
KF1484707230,Books,1 penjual,4.9,,301964.25
KFB07JCJMPVN,,2 yg jual,4.6,"66,237",IDR 208067.7475
KFB07HCZ7LPW,Video Games,77 Penjual,,"16,562",704439.4575 Rupiah
